date,salinity,precip_in
2023-12-29,11.326041666666667,0.05
2023-12-30,9.559574468085106,0.0
2023-12-31,8.764772727272726,0.0
2024-01-01,9.831249999999999,0.03
2024-01-02,10.628260869565217,0.0
2024-01-03,10.688421052631579,0.0
2024-01-04,12.603125,0.0
2024-01-05,11.980952380952381,0.0
2024-01-06,13.625,0.41
2024-01-07,17.4873417721519,0.24
2024-01-08,13.143333333333334,0.0
2024-01-09,16.720454545454547,1.73
2024-01-10,19.544444444444448,0.22
2024-01-11,12.946153846153846,0.0
2024-01-12,12.264197530864196,0.08
2024-01-13,14.1,0.81
2024-01-14,11.8,0.0
2024-01-15,7.559701492537314,0.04
2024-01-16,,0.28
2024-01-17,7.964705882352941,0.0
2024-01-18,6.552238805970149,0.0
2024-01-19,10.093506493506494,0.04
2024-01-20,7.005714285714285,0.0
2024-01-21,11.04404761904762,0.0
2024-01-22,13.242708333333333,0.0
2024-01-23,13.96,0.05
2024-01-24,16.73894736842105,0.05
2024-01-25,17.44507042253521,0.24
2024-01-26,17.003030303030304,0.19
2024-01-27,13.877142857142857,0.0
2024-01-28,14.538461538461538,0.82
2024-01-29,9.3875,0.05
2024-01-30,10.573684210526316,0.0
2024-01-31,9.44375,0.0
2024-02-01,8.664583333333333,0.0
2024-02-02,9.858333333333333,0.32
2024-02-03,10.492708333333333,0.0
2024-02-04,12.496875000000001,0.0
2024-02-05,12.38125,0.0
2024-02-06,14.200000000000001,0.0
2024-02-07,15.078947368421053,0.0
2024-02-08,16.626041666666666,0.0
2024-02-09,18.585416666666667,0.0
2024-02-10,19.713541666666668,0.0
2024-02-11,19.08191489361702,0.0
2024-02-12,18.751063829787235,0.0
2024-02-13,18.671875,0.77
2024-02-14,14.5,0.0
2024-02-15,14.459375,0.0
2024-02-16,15.698958333333332,0.0
2024-02-17,16.103191489361702,0.18
2024-02-18,14.264583333333334,0.0
2024-02-19,12.329166666666666,0.0
2024-02-20,15.065624999999999,0.0
2024-02-21,15.084042553191491,0.0
2024-02-22,17.98125,0.04
2024-02-23,19.386458333333334,0.04
2024-02-24,18.478125000000002,0.0
2024-02-25,17.896874999999998,0.0
2024-02-26,18.666315789473682,0.01
2024-02-27,18.667368421052632,0.52
2024-02-28,18.794791666666665,0.17
2024-02-29,14.57578947368421,0.0
2024-03-01,14.284374999999999,0.0
2024-03-02,15.331249999999999,1.27
2024-03-03,13.789583333333333,0.0
2024-03-04,12.305376344086023,0.0
2024-03-05,13.913541666666667,0.43
2024-03-06,12.52421052631579,1.2
2024-03-07,13.276041666666666,0.11
2024-03-08,12.798958333333333,0.0
2024-03-09,13.573958333333332,1.53
2024-03-10,12.815624999999999,0.03
2024-03-11,4.226315789473684,0.0
2024-03-12,6.351578947368421,0.0
2024-03-13,9.328125,0.0
2024-03-14,9.929166666666667,0.0
2024-03-15,9.191578947368422,0.0
2024-03-16,5.9,0.0
2024-03-17,8.964583333333334,0.0
2024-03-18,8.896875,0.0
2024-03-19,7.936842105263158,0.0
2024-03-20,12.604166666666666,0.01
2024-03-21,9.207291666666666,0.0
2024-03-22,12.08736842105263,0.0
2024-03-23,15.420833333333334,3.66
2024-03-24,13.029166666666667,0.0
2024-03-25,15.498958333333334,0.0
2024-03-26,16.554166666666667,0.0
2024-03-27,14.222340425531916,0.06
2024-03-28,12.692631578947369,0.7
2024-03-29,10.632291666666667,0.0
2024-03-30,9.301449275362318,0.04
2024-03-31,,0.02
2024-04-01,,0.01
2024-04-02,,0.87
2024-04-03,,1.55
2024-04-04,,0.21
2024-04-05,,0.0
2024-04-06,,0.0
2024-04-07,,0.0
2024-04-08,,0.0
2024-04-09,,0.0
2024-04-10,,0.0
2024-04-11,,0.24
2024-04-12,,0.34
2024-04-13,,0.01
2024-04-14,,0.1
2024-04-15,,0.0
2024-04-16,,0.0
2024-04-17,,0.02
2024-04-18,,0.01
2024-04-19,,0.0
2024-04-20,,0.05
2024-04-21,,0.0
2024-04-22,,0.0
2024-04-23,,0.0
2024-04-24,,0.0
2024-04-25,,0.0
2024-04-26,,0.0
2024-04-27,,0.0
2024-04-28,,0.01
2024-04-29,,0.02
2024-04-30,,0.03
2024-05-01,,0.02
2024-05-02,,0.0
2024-05-03,,0.0
2024-05-04,,0.0
2024-05-05,,0.31
2024-05-06,,0.0
2024-05-07,13.096774193548388,0.0
2024-05-08,15.736170212765957,0.21
2024-05-09,15.151578947368423,0.0
2024-05-10,15.548958333333333,0.23
2024-05-11,14.59375,0.0
2024-05-12,14.383157894736843,0.15
2024-05-13,12.263541666666667,0.0
2024-05-14,11.662105263157896,0.03
2024-05-15,12.047916666666666,0.28
2024-05-16,12.554166666666667,0.27
2024-05-17,11.0,0.0
2024-05-18,11.946739130434782,0.04
2024-05-19,12.686458333333334,0.0
2024-05-20,13.462765957446809,0.0
2024-05-21,15.229473684210525,0.0
2024-05-22,16.193749999999998,0.0
2024-05-23,16.536458333333332,0.78
2024-05-24,16.753125,0.0
2024-05-25,17.34842105263158,0.0
2024-05-26,17.876041666666666,0.0
2024-05-27,18.391666666666666,0.96
2024-05-28,17.717708333333334,0.0
2024-05-29,16.589583333333334,0.65
2024-05-30,15.79468085106383,0.18
2024-05-31,15.984375,0.0
2024-06-01,16.5031914893617,0.0
2024-06-02,17.433684210526316,0.0
2024-06-03,18.1875,0.0
2024-06-04,18.696875000000002,0.0
2024-06-05,18.887234042553192,0.0
2024-06-06,19.221052631578946,0.77
2024-06-07,18.898958333333333,0.0
2024-06-08,18.171875,0.0
2024-06-09,18.011702127659575,0.0
2024-06-10,17.70957446808511,0.0
2024-06-11,18.533333333333335,0.0
2024-06-12,17.79375,0.0
2024-06-13,17.394791666666666,0.0
2024-06-14,18.4,0.28
2024-06-15,17.557291666666668,0.0
2024-06-16,17.728125000000002,0.0
2024-06-17,18.8,0.0
2024-06-18,18.97021276595745,0.0
2024-06-19,19.669791666666665,0.0
2024-06-20,20.26521739130435,0.0
2024-06-21,20.65157894736842,0.0
2024-06-22,21.427083333333332,0.11
2024-06-23,21.764583333333334,0.0
2024-06-24,21.183333333333334,0.0
2024-06-25,20.20736842105263,0.0
2024-06-26,21.875,0.08
